"Project","Package","Version","Licence","ProjectUrl","Status"
"NexusFine.Admin.csproj","Azure.Core","1.47.1","MIT","https://github.com/Azure/azure-sdk-for-net/blob/Azure.Core_1.47.1/sdk/core/Azure.Core/README.md","APPROVED"
"NexusFine.Admin.csproj","Azure.Identity","1.14.2","MIT","https://github.com/Azure/azure-sdk-for-net/blob/Azure.Identity_1.14.2/sdk/identity/Azure.IdentityREADME.md","APPROVED"
"NexusFine.Admin.csproj","Microsoft.AspNetCore.Components.Authorization","10.0.5","MIT","https://asp.net/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.Bcl.AsyncInterfaces","8.0.0","MIT","https://dot.net/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.Bcl.Cryptography","9.0.4","MIT","https://dot.net/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.Data.SqlClient","6.1.1","MIT","https://aka.ms/sqlclientproject","APPROVED"
"NexusFine.Admin.csproj","Microsoft.Data.SqlClient.SNI.runtime","6.0.2","LICENSE.txt","https://aka.ms/sqlclientproject","UNKNOWN"
"NexusFine.Admin.csproj","Microsoft.EntityFrameworkCore","10.0.5","MIT","https://docs.microsoft.com/ef/core/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.EntityFrameworkCore.Abstractions","10.0.5","MIT","https://docs.microsoft.com/ef/core/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.EntityFrameworkCore.Analyzers","10.0.5","MIT","https://docs.microsoft.com/ef/core/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.EntityFrameworkCore.Relational","10.0.5","MIT","https://docs.microsoft.com/ef/core/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.EntityFrameworkCore.SqlServer","10.0.5","MIT","https://docs.microsoft.com/ef/core/","APPROVED"
"NexusFine.Admin.csproj","Microsoft.Identity.Client","4.73.1","MIT","https://go.microsoft.com/fwlink/?linkid=844761","APPROVED"
"NexusFine.Admin.csproj","Microsoft.Identity.Client.Extensions.Msal","4.73.1","MIT","https://go.microsoft.com/fwlink/?linkid=844761","APPROVED"
